MoPHCode	GTIN
3961	6285128010825
3962	6285128010849
3963	6285128010801
3969	7791848925404
3970	7791848925503
3974	NULL
3976	3592610000770
3977	3592610000787
3978	3592610000794
3979	5712249104214
3980	8718692510173
3981	8718692510180
3987	6251106400605
3990	7730900994170
3992	4008500024348
3993	6285147000920
3996	7730900994156
3999	7612797372531
4015	300031612129
4016	300031611122
4017	300030524119
4018	300030528117
4019	300030527110
4021	3400956512805
4022	3400956513116
4025	4054839458767
4028	5413868111149
4029	NULL
4041	7612797480939
4048	3400956450787
4061	8054083012391
4067	3592619000177
4070	5413868111163
4071	5413868111187
4075	5407005590782
4078	8435232336535
4079	8435232336511
4082	366582506447
4083	300020111558
4094	7730900994194
4095	9120039163024
4097	9120039163031
4098	5016007202229
4100	5016007202281
4103	5283001010758
4104	5283001010635
4105	NULL
4106	NULL
4107	NULL
4108	NULL
4109	NULL
4110	5283001010703
4111	5283001011113
4112	NULL
4113	NULL
4114	NULL
4115	NULL
4117	NULL
4119	NULL
4122	NULL
4124	NULL
4126	NULL
4128	NULL
4130	NULL
4133	NULL
4134	NULL
4136	NULL
4138	NULL
4142	NULL
4144	NULL
4147	NULL
4149	NULL
4151	NULL
4153	NULL
4155	NULL
4157	NULL
4159	NULL
4163	NULL
4165	NULL
4166	NULL
4167	NULL
4169	NULL
4174	NULL
4175	5283001010796
4176	5283001010802
4177	NULL
4179	NULL
4181	NULL
4182	NULL
4184	NULL
4187	NULL
4189	NULL
4191	NULL
4192	NULL
4196	5283001010741
4197	5283001010789
4198	5283001010987
4199	5283001010611
4200	5283001010628
4201	5283001010697
4202	5283001010734
4203	NULL
4204	5283001010598
4205	5283001010604
4206	5283001010581
4207	5283001010673
4208	5283001010680
4209	5283001010710
4211	NULL
4212	NULL
4214	5283001010826
4215	NULL
4217	NULL
4219	NULL
4221	NULL
4223	NULL
4224	NULL
4225	NULL
4227	NULL
4229	NULL
4231	NULL
4235	5283001010765
4236	5283001010666
4237	5283001010642
4238	5283001010772
4239	15285003470070
4242	15285003470841
4243	15285003470858
4245	15285003470865
4246	15285003470872
4249	15285003470124
4250	15285003470889
4251	15285003470896
4252	15285003470902
4253	15285003470919
4258	15285003470940
4260	15285003470131
4262	15285003470629
4263	15285003470766
4264	15285003470773
4265	15285003470780
4266	15285003470797
4267	15285003470582
4268	15285003470148
4269	15285003470155
4270	15285003470162
4272	15285003470186
4275	15285003470209
4276	15285003470216
4278	15285003470223
4285	15285003470247
4286	15285003470254
4287	15285003470261
4288	15285003470278
4289	15285003470285
4290	15285003470018
4291	15285003470308
4292	15285003470292
4293	15285003470315
4294	15285003470322
4295	15285003470339
4301	15285003470414
4302	15285003470421
4303	15285003470438
4304	15285003470049
4306	15285003470445
4311	15285003470476
4312	15285003470483
4313	15285003470520
4314	15285003470056
4316	15285003470537
4317	15285003470544
4319	15285003470551
4321	15285003470575
4324	15285003470599
4325	15285003470605
4326	15285003470612
4327	15285003470636
4331	15285003470650
4332	15285003470063
4336	15285003470667
4337	15285003470735
4338	NULL
4339	15285003470742
4340	15285003470759
4345	5281058108015
4350	5281058101023
4351	5281058101016
4354	5283026901314
4355	5283026901338
4357	5283026901369
4361	5283026901390
4362	5283026901413
4364	5283026900096
4367	5283026901468
4368	5283026901475
4369	5283026901482
4370	5283026901499
4371	5283026901512
4372	5283026901529
4373	5283026901536
4374	5283026901543
4376	5283026900119
4377	5283026901581
4378	5283026900133
4379	5283026900140
4380	5283026900157
4387	5283026900171
4388	5283026900188
4389	5283026900195
4390	5283026900201
4392	5283026900249
4393	5283026900256
4395	5283026900270
4396	5283026900270
4397	5283026900300
4398	5283026900386
4399	5283026900393
4400	5283026900430
4401	5283026900454
4402	5283026900461
4404	5283026900508
4405	5283026900034
4406	5283026900515
4411	5283026900577
4413	5283026900539
4414	5283026900522
4415	5283026900553
4416	5283026900089
4417	5283026900560
4418	5283026900584
4419	5283026900591
4420	5283026900591
4421	5283026900614
4422	5283026900621
4423	5283026900638
4424	5283026900645
4425	5283026900652
4427	5283026900669
4428	5283026900676
4429	5283026901697
4431	5283026900713
4433	5283026900720
4434	5283026900775
4435	5283026900805
4436	5283026900812
4438	5283026900843
4439	5283026900850
4440	5283026900867
4442	5283026900904
4446	5283026900959
4447	5283026900966
4448	5283026900980
4450	5283026901000
4451	NULL
4452	5283026901048
4453	5283026901079
4454	5283026901604
4455	5283026901086
4456	5283026901093
4457	5283026901109
4458	5283026901116
4459	5283026901130
4460	5283026901147
4461	5283026901154
4462	5283026901161
4463	5283026901208
4464	5283026901215
4466	5283026901260
4467	5283026901277
4468	NULL
4469	NULL
4481	528501113110
4488	NULL
4490	528501113021
4492	NULL
4494	NULL
4495	528501113026
4497	528501113420
4499	528501113031
4501	528501113125
4502	528501113035
4503	NULL
4504	NULL
4505	NULL
4507	528501113103
4508	528501113428
4509	NULL
4513	528501113199
4516	528501113439
4517	528501113131
4518	528501113104
4519	NULL
4523	NULL
4524	NULL
4525	528501113143
4532	NULL
4535	528501113163
4536	528501113165
4537	528501113054
4540	NULL
4541	NULL
4543	528501113464
4545	528501113122
4547	528501113180
4548	528501113061
4549	528501113062
4551	528501113063
4552	528501113485
4554	528501113185
4559	NULL
4560	NULL
4561	NULL
4562	528501113072
4563	528501113190
4564	528501113195
4565	528501113486
4566	528501113487
4567	528501113051
4568	528501113053
4569	528501113197
4572	5285006160001
4573	5285006160087
4574	5285006160117
4575	5285006160094
4576	5285006160124
4577	5285006160131
4578	5285006160148
4579	5285006160162
4580	5285006160179
4581	5285006160186
4582	5285006160193
4583	5285006160018
4584	5285006160209
4585	5285006160216
4586	5285006160223
4587	5285006160230
4588	5285006160254
4589	5285006160278
4590	5285006160292
4591	5285006160308
4592	5285006160315
4593	5285006160025
4594	5285006160322
4595	5285006160339
4596	5285006160346
4597	5285006160353
4598	5285006160360
4599	5285006160377
4600	5285006160384
4602	5285006160407
4603	5285006160414
4604	5285006160056
