code,public_price
5764,993100
7492,1261868
5113,611448
11320,5305490
11880,5872592
3495,573821
1309,256674
1310,391058
1311,452875
1312,615480
4596,1354081
6917,669234
10622,56729091
10481,52634673
10482,66619921
10483,83550282
11380,52290378
11381,89386347
11382,124701632
7266,91416937
11939,959504
11046,748520
10643,501701
5711,2457888
8491,7582922
5710,2457888
8979,1222897
7440,3386483
10599,4479027
7688,1286662
11629,1158392
7121,1057156
11028,4363009
11029,3117715
11777,1333092
11778,1333092
11779,1333092
11780,1417754
11781,1333092
11782,1417754
2748,345368
11088,159917
7255,287582
7256,287582
2288,588603
6264,639925
6265,511940
11072,353431
3600,1998025
3599,1998025
7420,65161855
10814,1894818
5278,972686
9063,3680849
10155,295038213
1808,552319
1809,552319
11827,220390
11828,439436
7078,18175448
11544,18175448
1847,146479
1848,115570
9938,310428
10762,214213273
6863,46628557
3683,177387
11553,337304
3180,1291433
10669,327642
11816,289246
4597,262369
10690,1084481
10691,1084481
10098,1402972
10099,1402972
10367,36861820
10368,72729456
6236,1583046
890,3433518
7306,1433432
5292,295645
5988,295645
10120,196201
7727,639669
3367,392402
5856,774053
8865,1206771
8922,1190644
8856,1243054
8857,1101951
9481,682160
11111,9355300
8728,2315441
8729,2315441
6239,10212033
7023,2213309
5046,1202739
7974,2194047
5342,533505
9992,425998
9991,425998
9990,425998
9989,425998
10489,37257808
7184,774309
3853,361494
3854,172012
8070,560382
9081,356118
9317,516036
8588,1619330
11593,1619330
11928,32406715
7601,788388
6231,13361635
6232,24325802
5763,1435224
7837,890968
1746,176043
1747,310428
2579,249955
2222,878873
9472,588603
10815,1154361
10816,1154361
767,503941
765,1204083
10772,4837833
7738,337304
10107,671921
10179,794211
10180,1484946
10745,945809
10746,629686
10747,794787
5146,172012
7697,3527587
11923,1791790
11922,1791790
7932,339992
9918,358806
9666,1062276
8739,831903
10670,81974
5309,11256652
9246,1618783
9247,2265479
9248,2886308
5679,3567902
11012,4031528
2548,517379
4415,386515
1239,459594
5912,567102
5913,595322
2521,393746
11664,521441
5449,1384158
7345,875417
9442,460746
1671,348055
4735,534465
4736,149742
4737,756391
4417,296925
6182,775397
7214,428686
5199,1198595
11060,239204
4418,624567
8749,223078
1672,362837
6030,231653
10561,719276
6658,584571
6657,1408347
6352,1613955
4419,778149
4420,174060
11127,2159555
11128,3104276
2555,391058
9129,10011695
5742,24834241
2557,1033415
11418,772709
8253,2927964
5462,1988887
5776,1988887
7310,470345
8183,7977094
11940,399121
11164,399121
10979,18751847
10980,24138283
3904,15744000
3905,36347120
9345,141103
5647,741801
5648,632950
8224,2600655
1087,376276
8193,501253
1088,259362
1089,259362
5500,491846
8192,345368
5499,491846
8191,345368
11180,209895
8323,373588
10988,30290438
5196,172012
1865,170668
5987,373588
10791,166381
8249,1612611
2573,451531
5313,1791342
9552,919188
8145,216359
4738,121586
4421,366037
1440,145135
10449,35861618
8347,1138235
8348,8751127
8349,8751127
8350,10180812
8351,12176386
9798,1233647
9799,1108670
6311,1380126
6312,1607236
8704,1342499
8705,1342499
6620,292958
6621,1846440
6622,1585734
11644,3132497
5387,798626
5364,819104
7346,560062
8738,341720
5365,793507
9297,338648
11327,950097
10740,1816875
10741,1816875
4598,195817
4599,167660
10056,195817
6299,39990287
8547,1119421
8548,357462
5103,950097
11423,950097
8737,14139396
10046,120946
6212,245923
11468,427342
11469,6720556
11698,503941
11699,956816
6233,413903
5910,1104639
5911,581884
5998,568445
3512,295645
9974,514692
11299,517379
10637,456906
10854,542912
