ATC	Code
J01EE01	4585
R06AD52	4586
R05X	4587
A11AA	4588
R06AB54	4589
D08AX02	4590
D08AX02	4591
D08AX02	4592
R03DA05	4593
D08AX02	4594
M01AB05	4595
G03XC01	4596
M01AE01	4597
P03AB02	4598
P03AB02	4599
D05AA	4600
M01AB01	4602
M01AB01	4603
J01CA04	4604
C01DA08	4605
R01AX	4607
G04BE30	4608
D02AF	4610
P01AB01	4611
S03CA04	4612
D07CA01	4613
J01EE01	4614
J01CA04	4615
N02BE01	4616
N02BE01	4617
D06AX	4618
P01AB01	4619
P02CB01	4620
D02AF	4621
R06AD02	4622
N05BA02	4623
N02BE71	4624
J01CA04	4626
R05C	4628
N02BE01	4629
N02BE01	4630
S03AA30	4631
D06BA05	4632
P02DA01	4633
D06AA04	4634
S01AA09	4635
R03DA04	4636
J01CA01	4637
R03DB05	4638
M03BB52	4639
A03CA02	4640
D02AC	4641
A10BA02	4642
J01CA01	4643
J01CA01	4644
C09DA01	4645
D01AC02	4646
A01AB09	4648
R05CB03	4649
R05CB03	4650
R05X	4651
M03BC51	4652
M03BC51	4653
A12AX	4658
R03AC02	4660
M02AA07	4661
M01AC01	4662
H02AB07	4664
H02AB07	4666
H02AB07	4667
H02AB07	4668
B01AC06	4673
C10AA01	4674
C10AA01	4675
C10AA01	4676
G04BE08	4677
B01AC06	4680
J05AH02	4682
D07AC01	4684
D07CC01	4688
C07AB07	4693
C07AB07	4694
C07AB07	4695
C07BB07	4696
C07BB07	4697
M01AB55	4698
A10BA02	4699
A10BA02	4700
A10BD02	4701
A10BD02	4702
A11DB	4703
A11DB	4704
H03BB02	4710
D01AE15	4714
D01BA02	4715
C10AA05	4718
C10AA05	4719
C10AA05	4720
N07CA01	4721
N07CA01	4722
M04AA01	4725
A10BB12	4728
A10BB12	4729
A10BB12	4730
A10BB12	4731
J02AC01	4735
J02AC01	4736
J02AC01	4737
C03CA01	4738
C09CA01	4745
B05CX01	4747
B05CX01	4748
B05CX01	4749
B05CX01	4750
B05CX01	4751
B05CX01	4752
B05CX01	4753
B05BB02	4754
B05BB02	4755
B05BB02	4756
B05BB02	4764
B05BB02	4765
B05BB02	4766
B05BB02	4767
B05BB02	4769
B05BB02	4770
B05BB02	4772
B05BB02	4773
B05BB01	4774
B05BB01	4775
B05BB01	4776
B05BB02	4777
B05BB02	4778
B05CX01	4779
B05BC01	4780
B05BC01	4781
B05BC01	4782
B05BC01	4783
B05BB01	4784
B05BB01	4785
B05BB01	4786
B05XA03	4787
B05XA03	4788
B05XA03	4789
B05CX01	4790
B05XA03	4792
B05XA03	4793
B05XA03	4794
B05XA03	4795
B05XA03	4796
B05ZA	4800
B05CX01	4801
B05ZA	4802
B05ZA	4803
B05ZA	4804
B05ZA	4805
B05ZA	4806
B05CX01	4808
B05CX01	4809
B05CX01	4810
A01AD11	4811
A02BC04	4830
A02BC04	4831
B05XA03	4857
B05ZA	4858
B05ZA	4859
B05ZA	4860
A03BA01	4864
C07AA05	4874
C07AA05	4875
D07AD01	4898
D08AC52	4903
D08AC52	4904
R05X	5021
D07AA02	5027
A02AF02	5036
A02AF02	5037
C07AB07	5039
N05AX08	5040
C07AB07	5041
N05AX08	5042
N02AX02	5043
J01CA04	5044
S02CA05	5045
B03AB09	5046
N02AF02	5047
N01AH01	5048
A12CX	5049
A03FA03	5056
A10AE01	5057
A10AB01	5060
A10AD01	5061
M01AB16	5065
L01CD01	5066
G01AX	5071
C08CA01	5074
C10AA05	5075
C10AA05	5076
C09CA07	5077
C09CA07	5078
A02BC04	5079
A02BC04	5080
A02BC04	5081
A02BC04	5082
A10BA02	5083
A10BA02	5084
A10BA02	5085
A10BD02	5086
G04CA02	5087
N06AX16	5088
N06AX16	5089
L04AA06	5090
L01BC05	5091
L01BC05	5092
J01CR02	5094
D10AD51	5095
A10BB12	5096
A10BB12	5097
A10BB12	5098
A10BB12	5099
S01ED51	5103
B03AD	5113
D10BA01	5114
A10BA02	5115
L04AA18	5116
L04AA18	5117
L01EA03	5120
R03BA02	5121
A10BB12	5122
A10BB12	5123
A10BB12	5124
A10BB12	5125
A10BD02	5126
J07CA	5134
G01AX12	5135
A10BA02	5136
A10BA02	5137
R05CB01	5143
A02BC03	5144
J02AC01	5146
L01XA03	5150
L01CA04	5152
L01CA04	5153
N06AB10	5155
G04BE08	5157
L02BB03	5158
R06AX27	5159
R03DC03	5161
A10BA02	5163
J05AR01	5164
C09AA01	5171
A10BB01	5172
C09AA01	5173
N07CA01	5174
N07CA01	5175
N03AX11	5177
A02BC02	5179
M01AB05	5180
C07AB07	5181
R06AX27	5182
J02AC03	5184
H01AC01	5185
B05D	5186
B05D	5187
B05D	5188
B05D	5189
B05D	5190
B05D	5191
C07AB07	5192
L01CE02	5193
R03DX05	5194
J01XD02	5195
B05CX01	5198
S01JA01	5199
J01DD04	5201
J01DD04	5202
D11AX01	5205
J01FA10	5206
J01FA10	5207
G02BA03	5208
S01LA04	5209
B03AC	5210
D03AX06	5211
C01CA03	5213
M01AB55	5216
P01AB07	5220
J01MA14	5222
N06AB05	5223
C10AA05	5224
C10AA05	5225
C10AA05	5226
C09AA04	5229
A03AA04	5233
R01AD11	5234
D10AF01	5235
C09AA04	5236
N01AB06	5237
N01AB08	5238
D07XC03	5239
S01AE06	5240
R06AA52	5241
A02BD	5243
C09CA01	5244
J01DD08	5245
N06AX16	5248
R03AK07	5250
C10AX09	5252
M05BA04	5253
A09AA02	5258
A10AB06	5262
A10AB06	5263
A10AE04	5264
C08CA01	5266
C10AA05	5267
C10AA05	5268
C10AA05	5269
J01MA12	5270
J01MA12	5271
N05AH03	5274
N06AB03	5275
J01DE01	5276
J01DE01	5277
C10AX09	5278
C09AA10	5282
C01BC03	5283
C01BC03	5284
C08DA01	5285
C08DA01	5286
N06AB06	5289
J05AB11	5291
R06AX26	5292
J05AF07	5293
B03AA07	5295
D06BB03	5298
