MoPHCode,rep,2019,2021,2022,2023,2024,2025,2026,2027,2028,registrationDate,registrationMonth,registrationYear
5085,,,,,2023,,,,,,,,
11283,,,,,,,,,2027,,16,2,2023
7254,,,,,,,,,2027,,17,7,2013
8582,,,,,,2024,,,,,22,3,2016
3897,,,,,,,,,2027,,21,6,2005
6219,,,,,,2024,,,,,22,12,2010
5084,,,,,2023,,,,,,,,
11281,,,,,,,,,2027,,16,2,2023
8580,,,,,,2024,,,,,22,3,2016
3896,,,,,,,,,2027,,21,6,2005
4422,,,,,2023,,,,,,,,
5172,,,,,,2024,,,,,8,2,2008
3919,,,,2022,,,,,,,12,11,2002
6133,,,,,,,,,,2028,7,1,2011
11399,,,,,,,,,2027,,15,5,2023
10879,,,,,,,,2026,,,2,3,2022
6706,,,,,,,,,2027,,10,2,2012
4728,,,,,2023,,,,,,,,
6837,,,,,,,,2026,,,25,4,2012
11040,,,,,,,,2026,,,21,7,2022
5123,,,,,,2024,,,,,4,5,2007
10880,,,,,,,,2026,,,2,3,2022
6707,,,,,,,,,2027,,10,2,2012
4729,,,,,2023,,,,,,,,
6838,,,,,,,,2026,,,25,4,2012
11041,,,,,,,,2026,,,21,7,2022
6705,,,,2022,,,,,,,29,2,2012
5927,,,,,2023,,,,,,10,7,2009
5122,,,,,,2024,,,,,4,5,2007
10881,,,,,,,,2026,,,2,3,2022
6708,,,,,,,,,2027,,10,2,2012
4730,,,,,2023,,,,,,,,
6839,,,,,,,,2026,,,25,4,2012
11449,,,,,,,,,2027,,27,6,2023
6704,,,,2022,,,,,,,29,2,2012
5929,,,,,2023,,,,,,21,4,2010
5124,,,,,,2024,,,,,4,5,2007
10882,,,,,,,,2026,,,2,3,2022
6709,,,,,,,,,2027,,10,2,2012
4731,,,,,2023,,,,,,,,
6840,,,,,,,,2026,,,25,4,2012
11042,,,,,,,,2026,,,21,7,2022
6702,,,,2022,,,,,,,29,2,2012
5930,,,,,2023,,,,,,16,4,2010
5125,,,,,,2024,,,,,4,5,2007
6437,,,,,,2024,,,,,1,6,2011
4701,,,,,,,,,,2028,,,
4302,,,,,2023,,,,,,6,8,2006
4702,,,,,,,,,,2028,20,1,2010
4303,,,,,2023,,,,,,6,8,2004
5086,,,,,2023,,,,,,,,
5847,,,,,,2024,,,,,20,1,2010
7290,,,,,,,,2026,,,6,6,2013
5126,,,,,,2024,,,,,17,5,2006
9705,,,,,,,,,2027,,29,8,2018
9706,,,,,,,,,2027,,29,8,2018
9707,,,,,,,,,2027,,29,8,2018
5770,,,,,2023,,,,,,5,2,2010
11237,,,,,,,,,2027,,18,11,2022
10314,,,,,,2024,,,,,2,10,2020
10502,,,,,,2024,,,,,2,12,2020
5771,,,,,2023,,,,,,5,2,2010
11236,,,,,,,,,2027,,18,11,2022
10315,,,,,,2024,,,,,2,10,2020
7991,,,,,,,,,,2028,5,1,2015
7992,,,,,,,,,,2028,5,1,2015
7993,,,,,,,,,,2028,5,1,2015
10316,,,,,,2024,,,,,2,10,2020
10501,,,,,,2024,,,,,2,12,2020
10740,,,,,,,,,2027,,26,1,2021
11682,,,,,,,,,,2028,18,4,2024
11430,,,,,,,,,2027,,21,8,2023
11175,,,,,,,,,2027,,8,3,2023
10741,,,,,,,,,2027,,26,1,2021
11683,,,,,,,,,,2028,18,4,2024
11429,,,,,,,,,2027,,21,8,2023
11174,,,,,,,,,2027,,8,3,2023
11526,,,,,,,,,2027,,13,1,2023
10758,,,,,,,,2026,,,27,10,2020
8993,,,,,,,,,2027,,13,4,2017
8994,,,,,,,,,2027,,13,4,2017
