code,reg_number
10793,90321/1
8692,116/1
8366,67715/1
4395,973438/01
4396,973439/01
10753,155620/1
8709,32416/1
8708,32316/1
11113,149420/1
9644,95718/1
9399,120217/1
9228,112217/1
10850,200119/1
8603,106915/1
1025,27528
9599,33918/1
4100,23872/07
11438,138222/1
9123,101716/1
9122,101816/1
9124,101616/1
9820,103717/1
8435,114715/1
4588,22573
4107,35/95
4800,279/95
4802,279/95
4803,279/95
4804,279/95
4805,279/95
4806,279/95
4859,35/95
4105,35/95
4106,35/95
4108,35/95
4860,35/95
4109,35/95
4858,35/95
10465,171219/1
10466,170819/1
10467,171119/1
10468,171319/1
4694,23650/06
4695,23701/06
5516,221711/08
5518,221712/08
4693,23649/06
4696,23702/06
4697,23703/06
11718,100023/1
11981,122024/1
11719,100123/1
7341,97480/12
11417,2319/1
11896,21422/1
11897,21522/1
9099,134314/1
9098,134414/1
9097,134514/1
11892,115323/1
11891,115223/1
8724,74916/1
8725,75016/1
1169,22857/74
5569,218155/09
10095,59619/1
9295,102816/1
9294,102716/1
10528,130517/1
10529,130417/1
53,38700
529,208316/02
8138,187414/13
528,208315/02
10768,101621/1
10424,92220/1
11086,99922/1
11087,100022/1
2975,17908
2976,23537
11962,11722/1
11964,11822/1
11965,12022/1
11963,11922/1
11717,90418/1
8965,176716/1
10897,9714/1
10375,73620/1
5420,221922/09
5421,221923/09
5422,221924/09
8441,133815/1
9678,99818/1
9679,99918/1
8354,096851/12
4584,34
4585,34
5880,218001/09
5881,218002/09
5883,218011/09
5229,24979/07
5236,24978/07
10668,84621/1
10667,84521/1
10666,84721/1
6845,97841/11
6846,97842/11
4397,24751
3206,405690/00
5258,24472/06
10516,126119/1
10517,84619/1
7861,186191/13
7862,186192/13
1711,195490/04
1712,195491/04
1713,195492/04
5565,23863/07
6342,168138/10
6343,168139/10
5332,24491/06
3977,195471/04
10452,68620/1
3978,195470/04
10453,68720/1
3976,195469/04
10451,1320/1
5114,24301
10454,68820/1
8322,84015/1
8820,118316/1
7049,218863/09
7495,96715/12
7560,186379/13
10478,63320/1
10479,63420/1
11539,164820/1
4287,236962/99
4285,236959/99
4286,236958/99
10253,153519/1
10941,95818/1
10763,122121/1
10764,122221/1
10765,122321/1
4288,20949
4289,19330
8492,131415/1
8493,131515/1
6193,167632/10
4903,38909/96
4904,38918/96
2465,208973/03
8825,125615/1
10898,20314/1
7865,86814/1
7867,86614/1
9242,73817/1
10978,4921/1
6497,167159/10
11542,33923/1
2361,27883
8290,11815/1
9438,40918/1
6872,97363/12
11846,99723/1
11797,99523/1
9876,7919/1
411,19486
412,24542/79
11133,147722/1
11132,114120/1
11131,147255/1
8379,186962/14
9690,71116/1
8060,39914/1
9118,8617/1
8899,167016/1
10905,113921/1
10963,622/1
10965,722/1
10964,422/1
10961,522/1
10962,322/1
11822,30924/1
11821,31024/1
11820,31124/1
7511,186529/13
7878,133914/1
4291,13929
4292,6930
1800,3443/72
8422,136315/1
1801,3398/72
2806,27530
2810,78978/98
2811,236418/98
6697,096203/11
6696,096202/11
10291,125416/1
11528,131422/1
11527,131322/1
11656,131522/1
9276,69217/1
8120,122514/1
8121,122414/1
5877,221406/08
11870,55124/1
11868,55224/1
11869,55324/1
11763,28123/1
11764,28023/1
11762,28223/1
11411,24123/1
5159,24369/06
6388,167976/11
5519,24728/07
10742,151617/1
10743,107521/1
10744,107421/1
10161,108919/1
2985,26415
2980,25733
2979,24095
2977,25734
2986,973478/02
2987,26876
4398,236678/98
4399,973306/01
5520,24727/07
416,8291
417,20285
9536,125716/1
8300,186182/13
11674,12922/1
8299,186181/13
11673,12822/1
5464,222372/08
6884,219453/09
6885,219454/09
11943,65023/1
9045,121916/1
4898,26693/89
4400,208685/03
2886,405976/00
11840,89624/1
7531,97885/12
7321,166908/11
9351,156517/1
9352,156617/1
11918,83321/1
4401,2440/94
11037,97822/1
10055,132619/1
11036,97922/1
9535,34117/1
11038,99022/1
10901,144116/1
11655,84123/1
7437,185962/13
11874,149523/1
9573,22318/1
9572,19018/1
11646,66522/1
6694,97657/11
11545,11720/1
3885,MP0050/95
8279,75515/1
9694,29415/1
7159,25/95
9693,29515/1
9014,18417/1
10206,186418/1
11490,134522/1
11489,134322/1
11116,165720/1
10662,114320/1
10023,67219/1
10022,67119/1
11117,83720/1
7663,167179/10
4110,2792/94
4115,2711/94
4117,2711/94
4119,2711/94
9379,19616/1
11651,124023/1
11653,124323/1
11654,124123/1
4114,2780/94
4122,2662/94
4124,2662/94
4126,2662/94
4128,2662/94
4130,2662/94
9558,89618/1
9559,89518/1
9586,93718/1
9708,166518/1
9773,185918/1
4113,2778/94
4112,2777/94
4111,2793/94
4749,2088/94
4750,2088/94
4751,2088/94
4157,2661/94
4159,2661/94
11652,124223/1
4754,2094/94
4755,2094/94
4756,2094/94
4752,2089/94
4753,2089/94
4147,2744/94
4155,2744/94
4149,2746/94
4151,2746/94
4153,2746/94
4142,2710/94
4144,2710/94
9372,99817/1
9373,99917/1
4134,2709/94
4136,2709/94
4138,2709/94
9711,130718/1
9712,130618/1
4133,261322/97
4808,113/95
4809,113/95
4779,2087/94
4790,2087/94
4801,2087/94
4764,2093/94
4765,2093/94
4766,2093/94
4767,2092/94
4769,2092/94
4770,2092/94
4748,114/95
4810,114/95
4747,114/95
5198,195282/04
7285,218723/10
11321,150021/1
11360,149721/1
11361,149921/1
5136,24708/07
5137,24681/07
4728,148220/03
4729,148221/03
4730,148222/03
4731,148223/03
5086,24517/07
6133,167704/10
138,26321
9869,32614/1
9865,32514/1
9861,39114/1
9867,36814/1
9864,36914/1
9863,39014/1
5083,24674/07
11282,156322/1
5085,24673/07
11283,6823/1
5084,24672/07
11281,6723/1
6031,222499/08
11280,6623/1
5374,194485/05
5375,194484/05
7254,96882/12
10601,153820/1
10602,153720/1
10603,153920/1
10604,154020/1
2427,B0981/92
9278,74217/1
9207,72517/1
9288,2817/1
11884,112822/1
11977,138522/1
11978,138622/1
11883,113422/1
7527,185924/13
1822,28589
1832,195033/04
1812,974207/01
1823,78834
4402,208367/97
1263,15851
9808,159018/1
11917,17823/1
10938,66621/1
10939,66521/1
5216,222260/08
7659,186640/13
5325,221192/08
9416,17916/1
8685,100415/1
9354,215/1
8652,28116/1
3415,135370
11703,1193/2021
9511,81318/1
9313,108815/1
3588,208301/96
7137,187454/13
9574,76018/1
10013,4217/1
9853,15919/1
9968,16019/1
9687,74017/1
10091,93814/1
8461,106214/1
7026,96672/12
10236,77018/1
11642,56123/1
11772,137623/1
11773,137723/1
3427,135258/97
6927,96687/12
10859,177118/1
11216,67722/1
3922,194023/05
9685,101118/1
