MoPHCode	RegistrationNumber
11652	124223/1
4754	2094/94
4755	2094/94
4756	2094/94
4777	38950/96
4772	38949/96
4165	261321/97
4773	38948/96
4174	261320/97
4778	38951/96
4163	208491/97
4133	261322/97
4147	2744/94
4155	2744/94
4149	2746/94
4151	2746/94
4153	2746/94
4177	2745/94
4179	2745/94
9587	141917/1
10936	137821/1
11150	9823/1
4782	2097/94
4783	2097/94
9555	145717/1
9883	187518/1
9785	185318/1
4187	2779/94
4189	2779/94
4780	118/95
4781	118/95
4110	2792/94
2596	F1876/94
10614	63721/1
10615	63521/1
10616	63621/1
11140	9323/1
11141	9123/1
11142	63621/1
4115	2711/94
4117	2711/94
4119	2711/94
9379	19616/1
11651	124023/1
11653	124323/1
11654	124123/1
4749	2088/94
4750	2088/94
4751	2088/94
4114	2780/94
4752	2089/94
4753	2089/94
10566	52321/1
10567	52421/1
10568	52521/1
10569	52621/1
11146	8723/1
11147	8823/1
11148	8923/1
11149	9023/1
9772	160618/1
9790	160718/1
9791	193318/1
9792	177618/1
9793	177718/1
4122	2662/94
4124	2662/94
4126	2662/94
4128	2662/94
4130	2662/94
9558	89618/1
9559	89518/1
9586	93718/1
9708	166518/1
9773	185918/1
4808	113/95
4809	113/95
4779	2087/94
4790	2087/94
4801	2087/94
5198	195282/04
9955	60319/1
9958	39119/1
9957	39019/1
9999	21819/1
9954	60219/1
9956	60419/1
9959	39219/1
9998	21719/1
4748	114/95
4810	114/95
4747	114/95
2595	C1876/94
4113	2778/94
4112	2777/94
4111	2793/94
4191	261057/97
4192	261056/97
5186	24725/07
5188	24724/07
5190	24691/07
5191	24692/07
5187	24726/07
5189	24693/07
3599	195043/04
3600	195044/04
9869	32614/1
9867	36814/1
9865	32514/1
9864	36914/1
9861	39114/1
9863	39014/1
6695	167801/11
285	MPA 2272/94
2282	78753/97
4199	2839/94
4200	2839/94
2283	236215/98
4198	2796/94
4196	2838/94
4197	2795/94
4202	2805/94
4201	2802/94
4203	236963/99
10570	51921/1
10571	52121/1
10572	52021/1
10573	51821/1
10575	52221/1
11136	8323/1
11137	8523/1
11138	8623/1
11139	8423/1
2285	78752/97
291	MPB 2893/94
292	MPC 2893/94
9189	51117/1
9190	51017/1
9892	158118/1
9895	193218/1
9896	158218/1
9788	178418/1
9881	187618/1
9560	121517/1
9561	121617/1
9786	178518/1
4207	2806/94
4208	2806/94
4209	2806/94
4211	208804/03
4212	2633/94
4215	2633/94
4217	2633/94
4219	2633/94
4221	2633/94
9374	121817/1
9375	137617/1
9380	19516/1
9556	89218/1
9557	89118/1
9709	166618/1
4795	115/95
4796	115/95
4792	2090/94
4793	2090/94
4794	2090/94
11414	141120/1
11415	141020/1
11416	141220/1
9789	185118/1
9882	187718/1
9564	129417/1
9565	129317/1
9787	185218/1
10574	51721/1
11135	9723/1
9893	34319/1
9894	34419/1
4223	2712/94
4224	2712/94
4225	2712/94
9774	185818/1
9775	186018/1
4787	2091/94
4788	2091/94
4789	2091/94
4206	2794/94
4857	2794/94
4204	2804/94
4205	2804/94
8758	109215/1
3504	974121/01
2771	261486/97
4175	2797/94
4176	2798/94
4103	2803/94
8826	93216/1
10707	92920/1
3922	194023/05
4105	35/95
4106	35/95
4107	35/95
4108	35/95
4109	35/95
4800	279/95
4802	279/95
4803	279/95
4804	279/95
4805	279/95
4806	279/95
4858	35/95
4859	35/95
4860	35/95
10626	141720/1
11718	100023/1
11719	100123/1
7507	186635/13
7508	186506/13
5283	221421/08
5284	221422/08
2222	208346/97
9472	11518/1
10815	182120/1
10816	182020/1
2975	17908
11398	17123/1
2976	23537
10826	71420/1
8590	38315/1
5213	24352/06
11513	73421/1
2871	148228/03
11662	10301/1
10114	99119/1
2640	236651
3546	148242/03
7787	34014/1
8906	178216/1
11026	154520/1
3532	195328/04
4861	26/95
2097	H0744/92
7809	81614/1
11025	43121/1
272	MPO 2266/94
2279	973404/01
11500	147021/1
8529	149415/1
6599	166529/11
9921	51218/1
8421	92215/1
11114	23321/1
11503	53823/1
4605	20377
3714	27052
3715	27871
5420	221922/09
5421	221923/09
9462	167617/1
9463	167717/1
5422	221924/09
9464	167817/1
9024	174116/1
11388	65921/1
9023	174216/1
11389	66021/1
449	27207
9836	165116/1
3838	195480/04
11226	92420/1
5385	23634/06
11715	79520/1
10693	24020/1
5386	23635/06
11714	79620/1
10694	24120/1
8105	23815/1
8103	23915/1
8104	24015/1
8924	129615/1
4304	11283
4314	20919
10763	122121/1
10764	122221/1
10765	122321/1
7258	185912/13
7049	218863/09
11658	170020/1
8176	86314/1
5492	221726/08
11193	46522/1
9469	179417/1
8842	115416/1
10713	11819/1
5493	221725/08
11194	46622/1
9468	179517/1
8843	115316/1
10714	11719/1
8898	140616/1
4468	24279
4497	24273
4508	24962
2548	78829/98
9224	142315/1
10878	28122/1
988	MP MO 581/91
11501	113621/1
1664	24878/80
10791	89221/1
4738	27515/93
8224	126114/1
8249	121014/1
2573	C0744/92
8145	42915/1
9133	186115/13
5313	23601/06
9552	34018/1
10877	28222/1
10186	132719/1
10204	182019/1
10396	197819/1
8794	110115/1
9067	8017/1
9899	169418/1
11459	93222/1
9025	156916/1
7087	186473/12
9068	7917/1
9898	169518/1
11460	93422/1
9026	157016/1
7088	186474/12
4267	25486
11495	54123/1
6441	219226/09
11594	115123/1
7703	187434/13
9781	160515/1
10297	152419/1
10298	172219/1
9120	28517/1
10236	77018/1
10425	76220/1
10248	144619/1
10199	144519/1
1169	22857/74
5569	218155/09
9347	416/1
9348	316/1
9346	216/1
8157	59315/1
8158	59215/1
7080	24718/79
7081	24717/79
3427	135258/97
6927	96687/12
5878	23726/06
9608	45018/1
2361	27883
8290	11815/1
9438	40918/1
8886	115216/1
3196	38920/97
8031	136515/1
10968	94221/1
10969	94321/1
10158	97819/1
1001	MP VA 581/91
1651	25799
4874	27591/94
1002	MP VB 581/91
1652	25800
4875	27592/94
10132	143419/1
10177	143519/1
6516	167169/10
11755	77022/1
7573	185823/13
11756	77222/1
11441	69022/1
978	261444/97
11080	115222/1
4249	974227/01
480	27945/95
11442	68822/1
4260	974230/01
481	27946/95
10970	102221/1
10971	102121/1
11045	78521/1
4694	23650/06
5951	221990/09
5039	194106/05
5506	24945/07
5192	24714/07
11444	35123/1
4078	23881/07
11384	72422/1
6308	23639/06
8768	34316/1
11561	81723/1
4695	23701/06
5041	194101/05
5507	24944/07
5181	24718/07
4079	23882/07
11385	72322/1
6309	24676/07
8767	34416/1
4693	23649/06
5957	219480/10
11445	35223/1
7838	66314/1
11251	121720/1
11383	72222/1
11252	121820/1
11253	121920/1
3686	236734
11030	114621/1
10973	51122/1
10778	85821/1
9901	6319/1
9853	15919/1
9467	162017/1
9465	162117/1
9968	16019/1
9466	162217/1
4268	974228/01
11443	68922/1
4269	974229/01
4696	23702/06
6715	166532/11
5397	222455/08
8769	34516/1
4697	23703/06
6338	96410/11
6339	96411/11
4321	25483
5516	221711/08
5518	221712/08
3531	195452/04
10779	154820/1
7746	97698/11
5074	24384/06
5585	221156/08
7274	186365/13
11767	69421/1
5266	222226/07
6471	167490/10
6256	167177/10
3950	148393/04
5695	23648/06
1858	974224/01
7243	219270/09
7330	96881/12
10780	154920/1
7347	97882/12
5586	221157/08
7273	186364/13
11766	69321/1
8570	1615/1
6407	167489/10
7331	96880/12
10835	149520/1
7167	96655/12
6681	167745/11
6682	167744/11
10773	6821/1
2688	261012
3717	27873
4311	236308/98
4312	195142/04
5285	221420/08
5286	221419/08
10278	95019/1
10279	95319/1
3822	27355
4250	236261/98
4252	236264/98
4251	236263/98
3055	135276
3045	27057
4253	236265/98
3819	27352
4275	78968/98
4578	46
6714	167735/11
5171	23620/06
3820	27353
4276	78969/98
5173	23621/06
322	208363/97
11349	67922/1
3213	405682/00
11350	68722/1
11351	68622/1
3212	405681/00
5229	24979/07
5236	24978/07
4263	194926/05
10883	27122/1
6481	168202/10
6340	96388/11
7710	186056/13
4264	194927/05
10884	27022/1
6480	168203/10
5669	221713/08
7711	186057/13
7172	97478/12
4265	194925/05
10885	26822/1
7244	96648/12
5670	221714/08
7712	186058/13
7171	97479/12
4266	194928/05
4278	78966/98
11352	69122/1
3530	148386/04
5615	221706/08
5616	221705/08
6262	166647/11
5577	221880/08
5576	221672/08
5729	218136/09
5730	218135/09
5880	218001/09
11504	30921/1
5881	218002/09
11505	31021/1
5883	218011/09
11507	31121/1
6836	167605/10
10140	113019/1
10139	113119/1
10141	113219/1
10142	113319/1
8130	27015/1
8132	26915/1
8133	26715/1
9678	99818/1
9679	99918/1
6845	97841/11
5329	194127/05
4745	195018/04
10943	154420/1
7173	97241/12
6846	97842/11
5244	222208/07
10944	154320/1
11772	137623/1
7045	167488/10
6477	168101/10
7063	96571/12
11814	41322/1
8618	44416/1
7889	96582/12
11773	137723/1
7046	167487/10
6855	168103/10
7065	96572/12
11815	41222/1
8619	44316/1
7934	101714/1
7890	96583/12
7891	96584/12
7972	96581/12
10871	27422/1
7390	185959/13
9295	102816/1
7675	30614/1
7333	97360/12
10586	17921/1
9070	23717/1
6222	167545/10
10872	26722/1
7389	185958/13
9294	102716/1
7603	185812/13
7338	97361/12
10587	17821/1
9071	23817/1
6223	167479/10
11219	87421/1
1381	405698/00
6823	218834/09
11274	129222/1
10111	83018/1
11220	87321/1
1382	974041/02
6822	218835/09
11275	129422/1
10110	83118/1
10109	83218/1
2265	974489/00
5077	24461/06
11466	121218/1
2308	974488/00
9589	33818/1
5078	24460/06
11467	121118/1
9796	108518/1
6576	96412/11
6766	97047/12
11246	3321/1
9795	108618/1
6577	96413/11
6764	97048/12
11247	3221/1
9794	108718/1
6578	96414/11
6765	97049/12
11248	3121/1
11163	150820/1
11895	151120/1
6847	97888/12
4645	195019/04
9286	101017/1
10945	154220/1
7174	97396/12
6848	97889/12
5475	222489/08
9287	101117/1
10946	154120/1
11774	137323/1
7892	186255/13
11775	137423/1
6478	168104/10
6574	218776/09
8354	096851/12
7935	101814/1
7893	186256/13
11776	137523/1
6854	168105/10
7894	186257/13
7896	186259/13
7895	186258/13
10874	27222/1
7388	185987/13
10528	130517/1
7674	30514/1
8512	185801/13
10588	17721/1
6224	167546/10
10873	27322/1
7386	185988/13
10529	130417/1
7676	30714/1
8513	185802/13
10589	17621/1
6225	167547/10
7387	185989/13
7604	185813/13
8514	185803/13
10590	17521/1
11221	78221/1
6018	23609/06
11277	150322/1
10112	83418/1
6017	24537/07
10113	83318/1
2326	974085/02
5812	222495/08
7411	187439/13
11516	159920/1
7412	187441/13
11517	159820/1
7413	187443/13
11515	159720/1
7414	187442/13
11514	159620/1
11645	36122/1
11700	36022/1
11777	137823/1
11872	150921/1
8033	24814/1
7311	186372/13
9801	116416/1
10350	166818/1
11778	137923/1
11873	151021/1
10223	83617/1
8032	24914/1
7314	186370/13
8584	109014/1
10349	166918/1
11871	150821/1
9963	123618/1
7408	187498/13
11249	17321/1
9961	123718/1
7409	187497/13
11250	17421/1
9962	123818/1
7410	187496/13
6461	166980/11
11179	84822/1
6462	166979/11
11178	84722/1
6817	167728/10
6818	167729/10
10246	135019/1
10247	134919/1
10245	135119/1
7226	97236/12
7227	97237/12
11779	138123/1
11337	9922/1
11782	138223/1
11255	6220/1
11338	10322/1
11780	138323/1
11339	10022/1
11781	138023/1
11115	160016/1
11257	6120/1
11336	10122/1
11374	1181/1
11340	10222/1
7762	60614/1
11390	154921/1
7763	60514/1
11391	154721/1
7764	60214/1
11394	154521/1
7765	60414/1
11393	154821/1
7766	60314/1
11392	154621/1
8447	164215/1
8448	164315/1
8449	164415/1
6727	97664/11
3898	194917/05
4674	974220/01
4371	405487/00
6728	97662/11
3900	194916/05
7169	97041/12
4675	974219/01
4372	405488/00
6729	97663/11
3899	194915/05
7170	97040/12
4676	195017/04
4373	195307/04
3355	974055/02
3571	208659/03
9005	146916/1
4340	194903/05
3579	208658/03
9006	147016/1
4339	194904/05
4338	194905/05
6092	167503/10
5226	24467
5075	24457/06
9199	30617/1
11795	133622/1
11355	97621/1
7525	186173/13
5587	222385/08
3564	194013/05
6355	221901/08
5268	24942/07
11701	40021/1
5486	194304/05
10576	8920/1
4718	194919/05
3895	148348/04
7116	097486/12
6130	221674/08
8510	174915/1
6093	167502/10
5224	24468
5076	24459/06
7569	186393/13
11794	133522/1
8660	186840/14
11356	97721/1
8486	186455/12
7177	166831/11
5588	222386/08
3563	194014/05
6354	221902/08
5267	24941/07
10175	75315/1
5487	195316/04
10577	9020/1
4719	194920/05
3894	148349/04
7115	097485/12
6131	221675/08
8509	174815/1
6094	167501/10
5225	24469
7490	97883/12
