id,atc,b_g,ingredients,code,registration_nb,name,dosage,presentation,form,route,agent,laboratory,country,price,pharmacist_margin,stratum,responsible_party_name,responsible_party_country,exch_date,subsidy_pct,url
1158,B05CX01,G,Dextrose monohydrate - 7.5%,12127,81222/1,7.5% DEXTROSE INJECTION USP,7.5g/100ml,500ml,Injectable solution,Infusion,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"222,941 L.L",16.67,,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1158
1273,B05XA03,G,Sodium chloride - 9g/100ml,12468,81322/1,9% SODIUM CHLORIDE,9%,1000ml,Injectable solution,Infusion,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"280,400 L.L",16.67,,Serum and Solutions SAL,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1273
4394,N01BB02,G,Lidocaine HCl - 1%,12163,131024/1,? 1% LIDOCAINE HCL USP,1%,1x3.5ml,Injectable solution,IV/SC,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"76,791 L.L",23.08,A1,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/4394
4401,N01BB02,G,Lidocaine HCl - 2%,11696,142522/1,? 2% LIDOCAINE HCL USP,2%,1x20ml,Injectable solution,IV/SC,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"255,970 L.L",23.08,A1,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/4401
3345,L01AA09,G,Bendamustine HCl - 100mg/ml,12579,155625/1,? BENDAMUSTINE,100mg/ml,1,Injectable concentrate for solution,Infusion,Alfa Laboratoires S.A.L.,"Manufactured by AQ VIDA GmbH, Germany Packed by Alfa Laboratoires S.A.L.",Lebanon,"22,293,662 L.L",19.35,D,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/3345
1406,C03CA01,G,Furosemide - 20mg/ml,12478,94324/1,? FUROSEMIDE INJECTION,20mg/ml,1x2ml,Injectable solution,IV/IM,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"25,597 L.L",23.08,A1,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1406
175,A03BB01,G,Hyoscine butylbromide - 20mg/ml,12008,16024/1,? HYOSCINE BUTYLBROMIDE,20mg/ml,1x1ml,Injectable solution,IV/IM/SC,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"70,392 L.L",23.08,A1,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/175
4171,M01AE01,G,Ibuprofen - 400mg/100ml,11661,42323/1,? IBUPROFEN,400mg/100ml,100ml,Injectable solution,Infusion,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"383,955 L.L",23.08,A1,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/4171
193,A03FA01,G,Metoclopramide HCl - 10mg/2ml,12157,94424/1,? METOCLOPRAMIDE INJECTION USP,10mg/2ml,1x2ml,Injectable solution,IV/IM,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"84,470 L.L",23.08,A1,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/193
5180,P01AB01,G,Metronidazole - 500mg/100ml,11324,77922/1,? METRONIDAZOL,500mg/100ml,100ml,Injectable solution,Infusion,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"162,541 L.L",23.08,A1,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/5180
1316,C01CA03,G,Norepinephrine tartrate - 8mg/4ml,11662,10301/1,? NORADRENALINE,8mg/4ml,1x4ml,Injectable solution,Infusion,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"330,201 L.L",23.08,A1,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1316
235,A04AA01,G,Ondansetron - 8mg/4ml,12009,39324/1,? ONDANSETRON USP,8mg/4ml,1x4ml,Injectable solution,IV/IM,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"447,948 L.L",23.08,A1,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/235
3757,L01XA03,G,Oxaliplatin - 50mg/10ml,12548,186725/1,? OXALIPLATIN,50mg/10ml,1x10ml,Injectable concentrate for solution,Infusion,Alfa Laboratoires S.A.L.,"Manufactured by AQ VIDA GmbH, Germany Packed by Alfa Laboratoires S.A.L.",Lebanon,"3,839,550 L.L",23.08,B,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/3757
3748,L01XA03,G,Oxaliplatin - 100mg/20ml,12549,186825/1,? OXALIPLATIN,100mg/20ml,1x20ml,Injectable concentrate for solution,Infusion,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"6,975,280 L.L",21.26,C,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/3748
3447,L01CD01,G,Paclitaxel - 300mg/50ml,12577,155825/1,? PACLITAXEL,300mg/50ml,1,Injectable concentrate for solution,Infusion,Alfa Laboratoires S.A.L.,"Manufactured by AQ VIDA GmbH, Germany Packed by Alfa Laboratoires S.A.L.",Lebanon,"29,964,600 L.L",19.35,D,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/3447
3454,L01CD01,G,Paclitaxel - 30mg/5ml,12578,155725/1,? PACLITAXEL,30mg/5ml,1,Injectable concentrate for solution,Infusion,Alfa Laboratoires S.A.L.,"Manufactured by AQ VIDA GmbH, Germany Packed by Alfa Laboratoires S.A.L.",Lebanon,"4,863,430 L.L",23.08,B,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/3454
3459,L01CD01,G,Paclitaxel - 100mg/16.7ml,12623,155925/1,? PACLITAXEL,300mg/50ml,1,Injectable concentrate for solution,Infusion,Alfa Laboratoires S.A.L.,"Manufactured by AQ VIDA GmbH, Germany Packed by Alfa Laboratoires S.A.L.",Lebanon,"12,389,485 L.L",21.26,C,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/3459
